fight_url,fighter_1,fighter_2,has_strike_data,result
http://ufcstats.com/fight-details/8a884a7930d75ca9,Santiago Luna,Quang Le,True,"W
  


Santiago Luna 


      ""BorderBoy"""
http://ufcstats.com/fight-details/a1e193425e716b42,Alessandro Costa,Alden Coria,True,"L
  


Alessandro Costa 


      ""Nono"""
http://ufcstats.com/fight-details/0149e875b31e57f8,Modestas Bukauskas,Paul Craig,True,"W
  


Modestas Bukauskas 


      ""The Baltic Gladiator"""
http://ufcstats.com/fight-details/d14fea43712707f0,Benoit Saint Denis,Mauricio Ruffy,True,"W
  


Benoit Saint Denis 


      ""God of War"""
http://ufcstats.com/fight-details/23dbe713c4294c66,Marcin Tybura,Ante Delija,True,"L
  


Marcin Tybura 


      ""Tybur"""
http://ufcstats.com/fight-details/a47123ae6e048f11,Axel Sola,Rhys McKee,True,"W
  


Axel Sola"
http://ufcstats.com/fight-details/b53031bf4bd0a330,William Gomis,Robert Ruchala,True,"W
  


William Gomis 


      ""Jaguar"""
http://ufcstats.com/fight-details/420211200a35c1d1,Sam Patterson,Trey Waters,True,"W
  


Sam Patterson"
http://ufcstats.com/fight-details/a38010639e61885c,Shauna Bannon,Sam Hughes,True,"L
  


Shauna Bannon 


      ""Mama B"""
http://ufcstats.com/fight-details/69b31593175f77ec,Bolaji Oki,Mason Jones,True,"L
  


Bolaji Oki 


      ""The Zulu Warrior"""
http://ufcstats.com/fight-details/5cd2dd6075fadcce,Harry Hardwick,Kaue Fernandes,True,"L
  


Harry Hardwick 


      ""Houdini"""
http://ufcstats.com/fight-details/b3253e2c2d111030,Brad Tavares,Robert Bryczek,True,"L
  


Brad Tavares"
http://ufcstats.com/fight-details/5bcd8abf6da01dae,Nassourdine Imavov,Caio Borralho,True,"W
  


Nassourdine Imavov 


      ""The Sniper"""
http://ufcstats.com/fight-details/4080b4310d82b42d,Oumar Sy,Brendson Ribeiro,True,"W
  


Oumar Sy"
http://ufcstats.com/fight-details/d56a59a4c79cf515,Andreas Gustafsson,Rinat Fakhretdinov,True,"L
  


Andreas Gustafsson 


      ""Bane"""
http://ufcstats.com/fight-details/ce6bd165bef82bd7,Sumudaerji,Kevin Borjas,True,"W
  


 Sumudaerji 


      ""The Tibetan Eagle"""
http://ufcstats.com/fight-details/1ab1ed99a4bc5494,Charles Johnson,Lone'er Kavanagh,True,"W
  


Charles Johnson 


      ""InnerG"""
http://ufcstats.com/fight-details/130e622d4d2aee3e,Michel Pereira,Kyle Daukaus,True,"L
  


Michel Pereira 


      ""Demolidor"""
http://ufcstats.com/fight-details/0b1460c666e66d39,Maheshate,Gauge Young,True,"L
  


 Maheshate"
http://ufcstats.com/fight-details/5538d15c4eeac3b3,Sergei Pavlovich,Waldo Cortes-Acosta,True,"W
  


Sergei Pavlovich"
http://ufcstats.com/fight-details/2f6065fe0804d1d8,Xiao Long,SuYoung You,True,"L
  


Xiao Long"
http://ufcstats.com/fight-details/2eecf0c36192e40c,Johnny Walker,Zhang Mingyang,True,"W
  


Johnny Walker"
http://ufcstats.com/fight-details/f55749e32ce5c6f3,Rongzhu,Austin Hubbard,True,"W
  


 Rongzhu"
http://ufcstats.com/fight-details/f0b7caa90faf47e5,Yizha,Westin Wilson,True,"W
  


 Yizha"
http://ufcstats.com/fight-details/7fc5f1dc2df84ac7,Uran Satybaldiev,Diyar Nurgozhay,True,"W
  


Uran Satybaldiev 


      ""Gorilla"""
http://ufcstats.com/fight-details/58080e8989927500,Brian Ortega,Aljamain Sterling,True,"L
  


Brian Ortega 


      ""T-City"""
http://ufcstats.com/fight-details/1452c20d964c0a63,Taiyilake Nueraji,Kiefer Crosbie,True,"W
  


Taiyilake Nueraji 


      ""Super Saiyan"""
http://ufcstats.com/fight-details/1d8dc0fb5d47357f,Chase Hooper,Alexander Hernandez,True,"L
  


Chase Hooper 


      ""The Dream"""
http://ufcstats.com/fight-details/42585ce706c086de,Geoff Neal,Carlos Prates,True,"L
  


Geoff Neal 


      ""Handz of Steel"""
http://ufcstats.com/fight-details/82338ba457fbe87f,Tim Elliott,Kai Asakura,True,"W
  


Tim Elliott"
http://ufcstats.com/fight-details/a2eafd9e1d5031b1,Jessica Andrade,Loopy Godinez,True,"L
  


Jessica Andrade 


      ""Bate Estaca"""
http://ufcstats.com/fight-details/bc63f1b2e52f603e,Edson Barboza,Drakkar Klose,True,"L
  


Edson Barboza 


      ""Junior"""
http://ufcstats.com/fight-details/12cedec11b37ddc0,Dricus Du Plessis,Khamzat Chimaev,True,"L
  


Dricus Du Plessis 


      ""Stillknocks"""
http://ufcstats.com/fight-details/5b880d10b0ed7acc,Gerald Meerschaert,Michal Oleksiejczuk,True,"L
  


Gerald Meerschaert 


      ""GM3"""
http://ufcstats.com/fight-details/88020d22cf905792,Karine Silva,Dione Barbosa,True,"W
  


Karine Silva 


      ""Killer"""
http://ufcstats.com/fight-details/9939d7073462e07e,Jared Cannonier,Michael Page,True,"L
  


Jared Cannonier 


      ""The Killa Gorilla"""
http://ufcstats.com/fight-details/5efd13a12be06706,Baisangur Susurkaev,Eric Nolan,True,"W
  


Baisangur Susurkaev 


      ""Hunter"""
http://ufcstats.com/fight-details/68c423c7119004f3,Alibi Idiris,Joseph Morales,True,"L
  


Alibi Idiris"
http://ufcstats.com/fight-details/9fa6a029f7f8241c,Lerone Murphy,Aaron Pico,True,"W
  


Lerone Murphy 


      ""The Miracle"""
http://ufcstats.com/fight-details/37d58369782cb86b,Steve Erceg,Ode Osbourne,True,"W
  


Steve Erceg 


      ""Astroboy"""
http://ufcstats.com/fight-details/3d6571790c21527c,Julius Walker,Rafael Cerqueira,True,"W
  


Julius Walker 


      ""Juice Box"""
http://ufcstats.com/fight-details/75a84211f50c53f5,Eryk Anders,Christian Leroy Duncan,True,"L
  


Eryk Anders 


      ""Ya Boi"""
