00_2_f1_made,00_2_f1_attempt,00_2_f2_made,00_2_f2_attempt,10_2_f1_made,10_2_f1_attempt,10_2_f2_made,10_2_f2_attempt,winner_encoded
15.0,3318.0,3318.0,39.0,16.0,3214.0,3214.0,33.0,0
25.0,7226.0,7226.0,66.0,20.0,3652.0,3652.0,87.0,1
15.0,5228.0,5228.0,60.0,0.0,0.0,0.0,0.0,1
44.0,5412.0,5412.0,26.0,0.0,0.0,0.0,0.0,0
27.0,4710.0,4710.0,29.0,9.0,140.0,140.0,4.0,0
4.0,811.0,811.0,18.0,0.0,0.0,0.0,0.0,1
16.0,2616.0,2616.0,35.0,0.0,0.0,0.0,0.0,0
19.0,4011.0,4011.0,34.0,60.0,10913.0,10913.0,36.0,0
0.0,0.0,0.0,0.0,14.0,246.0,246.0,12.0,0
18.0,3913.0,3913.0,37.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23.0,484.0,484.0,7.0,0.0,0.0,0.0,0.0,0
5.0,102.0,102.0,6.0,17.0,226.0,226.0,15.0,0
27.0,6022.0,6022.0,63.0,0.0,0.0,0.0,0.0,1
11.0,266.0,266.0,13.0,0.0,0.0,0.0,0.0,0
24.0,6217.0,6217.0,43.0,0.0,0.0,0.0,0.0,1
2.0,65.0,65.0,13.0,0.0,0.0,0.0,0.0,1
4.0,125.0,125.0,17.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2.0,45.0,45.0,16.0,0.0,0.0,0.0,0.0,1
5.0,168.0,168.0,11.0,0.0,0.0,0.0,0.0,1
22.0,291.0,291.0,2.0,0.0,0.0,0.0,0.0,0
14.0,3212.0,3212.0,26.0,0.0,0.0,0.0,0.0,0
28.0,4122.0,4122.0,38.0,0.0,0.0,0.0,0.0,0
10.0,2163.0,2163.0,81.0,0.0,0.0,0.0,0.0,1
11.0,2818.0,2818.0,29.0,0.0,0.0,0.0,0.0,1
41.0,9036.0,9036.0,57.0,0.0,0.0,0.0,0.0,1
